Status,Code,Description,Empty,Type,Zone,Length,Width,Height,Customer,Disabled
Empty,LAKECITYFL-D Section-D1-1,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-2,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-3,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-4,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-5,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-6,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-7,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-8,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-9,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-10,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-11,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-12,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-13,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-14,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-15,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-16,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-17,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-18,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-19,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-20,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-21,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-22,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-23,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-24,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-25,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-26,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-27,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-28,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-29,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-30,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-31,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-32,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-33,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-34,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-35,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-36,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-37,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-38,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-39,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-40,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-41,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-42,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-43,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-44,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-45,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-46,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-47,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-48,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-49,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-50,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-51,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-52,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-53,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-54,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-55,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-56,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-57,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-58,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-59,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-60,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-61,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-62,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-63,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-64,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-65,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-66,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-67,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-68,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-69,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-70,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-71,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-72,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-73,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-74,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-75,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-76,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-77,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-78,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-79,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-80,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-81,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-82,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-83,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-84,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-85,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-86,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-87,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-88,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-89,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-90,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-91,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-92,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-93,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-94,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-95,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-96,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-97,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-98,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-99,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
Empty,LAKECITYFL-D Section-D1-100,LC Bin,Yes,Storage,LC Storage,48,48,48,,No
